Name,One Serving,Calories,Proteins,Carbs,Fats
"Burger",195,391,8.4,55.5,15.1
"Butter Naan",184,536,11.1,67.2,24.3
"Chai/Coffee",180,73,3.0,8.3,3.2
"Chapati",105,256,9.1,52.1,1.3
"Chole Bhature",250,445,8.9,46.3,24.8
"Dal Makhani",150,165,6.1,16.5,8.3
"Dhokla",105,163,7.2,16.8,7.3
"Fried Rice",124,136,2.4,22.3,3.9
"Idly",100,146,4.5,30.4,0.7
"Jalebi",50,131,1.1,15.3,7.4
"Kaathi Rolls",146,248,5.0,37.6,8.5
"Kadai Paneer",150,149,6.3,5.9,11.4
"Kulfi",120,218,6.9,32.1,7.9
"Masala Dosa",136,213,5.0,28.1,8.9
"Momos",180,244,6.3,42.2,5.5
"Paani Puri",237,249,5.1,43.1,6.5
"Pakode",75,218,6.4,17.3,13.7
"Pav Bhaji",240,382,8.3,61.3,11.7
"Pizza",238,427,11.4,55.0,17.9
"Samosa",200,552,7.1,55.8,33.2
